Name,Url,Program
Accounting,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/accounting.html,"One Year MBA,Two Year MBA"
Alternative Investments,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/alternative_investments.html,"One Year MBA, Two Year MBA"
Arts Management,https://goizueta.emory.edu/degree/undergraduate/curriculum/concentrations/arts.html,"Undergraduate"
Brand Management,https://goizueta.emory.edu/degree/two_year_mba/curriculum/concentrations_electives/product_brand_management.html,"Two Year MBA"
Business Analytics, ,Evening MBA
Capital Markets,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/capital_markets.html,"Evening MBA, One Year MBA, Two Year MBA"
Corporate Finance,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/corporate_finance.html,"Evening MBA, One Year MBA, Two Year MBA"
Customer Relationship Management,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/customer_relationship_management.html,"One Year MBA, Two Year MBA"
Decision Analysis,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/decision_analytics.html,"One Year MBA, Two Year MBA"
Entrepreneurship,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/entrepreneurship.html,"Evening MBA, One Year MBA, Two Year MBA"
Environmental Management,https://goizueta.emory.edu/degree/undergraduate/curriculum/concentrations/environment.html,"Undergraduate"
Film and Media Management,https://goizueta.emory.edu/degree/undergraduate/curriculum/concentrations/film.html,"Undergraduate"
General Marketing,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/general_marketing.html,"Evening MBA, One Year MBA, Two Year MBA"
Global Financial Reporting Analysis,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/global_financial_reporting_analysis.html,"One Year MBA, Two Year MBA"
Global Management,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/global_management.html,"Evening MBA, One Year MBA, Two Year MBA"
Healthcare Consulting,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/healthcare_consulting.html,"One Year MBA, Two Year MBA"
Health Innovation,https://goizueta.emory.edu/degree/undergraduate/curriculum/concentrations/health_innovation.html,"Undergraduate"
Healthcare Management, ,Evening MBA
Investment Banking,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/investment_banking.html,"One Year MBA, Two Year MBA"
Management Consulting,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/management_consulting.html,"Evening MBA, One Year MBA, Two Year MBA"
Managerial Finance, ,Evening MBA
Marketing Analytics,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/marketing_analytics.html,"Evening MBA, One Year MBA, Two Year MBA"
Marketing Consulting,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/marketing_consulting.html,"One Year MBA, Two Year MBA"
Media & Entertainment,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/media_entertainment.html,"One Year MBA, Two Year MBA"
Operations Consulting, ,Two Year MBA
Operations Management,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/operations_management.html,"Evening MBA, One Year MBA, Two Year MBA"
Organizational Management,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/organization_management.html,"One Year MBA"
Product and Brand Management,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/product_brand_management.html,"Evening MBA, One Year MBA, Two Year MBA"
Real Estate,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/real_estate.html,"Evening MBA, One Year MBA, Two Year MBA"
Social Enterprise,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/social_enterprise.html,"Evening MBA, One Year MBA, Two Year MBA"
Strategy Consulting,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/strategy_consulting.html,"Evening MBA, One Year MBA, Two Year MBA"
Technology Management,https://goizueta.emory.edu/degree/one_year_mba/curriculum/concentrations_electives/business_technology_management.html,"One Year MBA, Two Year MBA"






