Slug,Component,Field name,Field Value,Field name,Field value,Field name,Field value,Field name,Field value,,
/article/test-article,Page Metadata Info,Title,This is the page title for test article,Summary,Lorem Epsom Summary,,,,,,
/article/test-article,Hero,Background Image,hero.jpg,CTA,"link one|http://www.gogle.com,link two|http://www.example.com",,,,,,
/article/test-article,Statistics,Light Title,Statistics Section TItle (Optional),,,,,,,,
/article/test-article,Statistics Item,Title,Statistic item One,Statistic Number,200,Summary,Number of students in class A,,,,
/article/test-article,Statistics Item,Title,Statistic item Two,Statistic Number,300,Summary,Number of students in class B,,,,
/article/test-article,Statistics Item,Title,Statistic item Three,Statistic Number,100,Summary,Number of students in class C,,,,
/article/test-article-two,Page Metadata Info,Title,This page page title,Summary,Lorem Ipsom Summary,,,,,,
/article/test-article-two,Full Width Breaker,Background Image,background-image-example.jpg,Light Title,Promo Title,Short Title,Optional Short title,Summary,This is a summary,,link-to-media.mov
/article/test-article-two,Spotlight (50/50 - Promo),Light Title,Title to the side of the cotent,Summary,Summary text,position,left,,,,
/article/test-article-two,Spotlight (50/50 - Promo),Light Title,Title to the side of the cotent,Summary,Summary text,position,right,,,,
/article/test-article-two,Cards,Light Title,Program Section Title,CTA,SEE ALL PROGRAMS|http://www.google.com/link-to-program,,,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA One,Summary,Summary text,CTA,link|https://www.examp.com|twitter,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Two,Summary,Summary text,CTA,link|https://www.examp.com|facebook,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Three,Summary,Summary text,CTA,link|https://www.examp.com|instagram,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Four,Summary,Summary text,CTA,link|https://www.examp.com|youtube,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Five,Summary,Summary text,CTA,link|https://www.examp.com,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Six,Summary,Summary text,CTA,link|https://www.examp.com,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Seven,Summary,Summary text,CTA,link|https://www.examp.com,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Eight,Summary,Summary text,CTA,link|https://www.examp.com,,,,
/article/test-article-two,Cards Items (Promo),Light Title,One Year MBA Nine,Summary,Summary text,CTA,link|https://www.examp.com,,,,
/article/test-article-two,Recent Events,Light Title,My light text,Bold Title,My bold text,,,,,,
/article/test-article-two,Promo Grid (Faces of Goizueta),Light Title,Faces of Gozueta,,,,,,,,
/article/test-article-two,Promo Grid Item,Media,promo-image-one.jpg,Summary,This is a summary text,Link,http://www.google.com,,,,
/article/test-article-two,Promo Grid Item,Media,promo-image-one.jpg,Summary,This is a summary text,Link,http://www.google.com,,,,
/article/test-article-two,Promo Grid Item,Media,promo-image-one.jpg,Summary,This is a summary text,Link,http://www.google.com,,,,
/article/test-article-two,Promo Grid Item,Media,promo-image-one.jpg,Summary,This is a summary text,Link,http://www.google.com,,,,
/article/test-article-two,Promo Grid Item,Media,promo-image--big-one.jpg,Summary,This is a summary text,Link,http://www.google.com,,,,
/article/test-article-two,Interactive Venn,,,,,,,,,,
/article/test-article-two,Interactive Venn Item,Title,Two Year MBA Spring Semester,Summary,This is a summary text,,,,,,
/article/test-article-two,Interactive Venn Item,Title,Foundational Academics,Summary,This is a summary text,,,,,,
